title,type,url
Public Forum reflects on need to strengthen collective action towards sustainable trade,News item,https://www.wto.org/english/news_e/news21_e/pf21_01oct21a_e.htm
Public Forum discusses how to help small businesses become more resilient,News item,https://www.wto.org/english/news_e/news21_e/pf21_01oct21_e.htm
"Business groups highlight need for WTO reform, MC12 outcomes",News item,https://www.wto.org/english/news_e/news21_e/bus_30sep21_e.htm
"Climate, pandemic, e-commerce, inclusivity — Public Forum addresses priorities for reform",News item,https://www.wto.org/english/news_e/news21_e/pf21_29sep21_e.htm
Public Forum 2021: Introductory remarks by DG Okonjo-Iweala,Speech,https://www.wto.org/english/news_e/spno_e/spno16_e.htm
DG Okonjo-Iweala welcomes participants to 2021 Public Forum,News item,https://www.wto.org/english/news_e/news21_e/pf21_28sep21_e.htm
Public Forum programme is now available,News item,https://www.wto.org/english/news_e/news21_e/pf21_15sep21_e.htm
Public Forum registration for in-person participation closes on 6 September,News item,https://www.wto.org/english/news_e/news21_e/pf21_26aug21_e.htm
WTO launches call for MSME stories on “Building resilience through trade during COVID-19”,News item,https://www.wto.org/english/news_e/news21_e/pf21_18jun21_e.htm
Deadline for submitting proposals for 2021 Public Forum extended to 14 June,News item,https://www.wto.org/english/news_e/news21_e/pfor_03jun21_e.htm
WTO opens online registration for 2021 Public Forum,News item,https://www.wto.org/english/news_e/news21_e/pfor_05may21_e.htm
WTO launches call for proposals for 2021 Public Forum,News item,https://www.wto.org/english/news_e/news21_e/pfor_12apr21_e.htm
2021 Public Forum theme to be “Trade beyond COVID-19: Building Resilience”,News item,https://www.wto.org/english/news_e/news21_e/pfor_29mar21_e.htm
